ts,mbps,fps,bytes_sent,interval_s
2025-11-01T23:51:16Z,0.0646,29.778368452040944,8075,0.036889621
2025-11-01T23:51:16Z,0.033512,30.135448103471717,4189,0.030398131
2025-11-01T23:51:16Z,0.067752,29.63871190671791,8469,0.038188826
2025-11-01T23:51:16Z,0.044,29.960750158940282,5500,0.030113093
2025-11-01T23:51:16Z,0.070648,28.715167226287424,8831,0.049302803
2025-11-01T23:51:16Z,0.016416,29.37066700821489,2052,0.025498088
2025-11-01T23:51:16Z,0.047352,29.31546109482581,5919,0.0348811
2025-11-01T23:51:16Z,0.026136,29.481693797097112,3267,0.031418947
2025-11-01T23:51:16Z,0.028352,29.679633113355347,3544,0.030526131
2025-11-01T23:51:16Z,0.022224,29.87245339901937,2778,0.030213427
2025-11-01T23:51:16Z,0.022304,29.85586947294863,2788,0.033791765
2025-11-01T23:51:16Z,0.06384,30.01724520754419,7980,0.030253019
2025-11-01T23:51:16Z,0.008496,30.230119401430017,1062,0.028856944
2025-11-01T23:51:16Z,0.050384,30.07772725377967,6298,0.03643162
2025-11-01T23:51:16Z,0.035872,30.132418808491668,4484,0.031979948
2025-11-01T23:51:16Z,0.015224,30.184041319779315,1903,0.03193817
2025-11-01T23:51:16Z,0.03012,30.137174314976818,3765,0.034315081
2025-11-01T23:51:16Z,0.041224,30.10277002905301,5153,0.034091765
2025-11-01T23:51:16Z,0.047688,30.019145682779513,5961,0.035533026
2025-11-01T23:51:16Z,0.34896,29.10154154872642,43620,0.060621614
2025-11-01T23:51:16Z,0.016944,29.75892644183492,2118,0.013867332
2025-11-01T23:51:16Z,0.0216,29.75928039067082,2700,0.033592172
2025-11-01T23:51:17Z,0.025592,29.87095846884697,3199,0.029959668
2025-11-01T23:51:17Z,0.040304,29.8657146082128,5038,0.033653672
2025-11-01T23:51:17Z,0.077944,29.14961960475156,9743,0.034305765
2025-11-01T23:51:17Z,0.048392,30.484797757221234,6049,0.031300706
2025-11-01T23:51:17Z,0.054016,30.05549265831475,6752,0.034208895
2025-11-01T23:51:17Z,0.024072,30.660021423843272,3009,0.030647687
2025-11-01T23:51:17Z,0.026856,30.26665858425816,3357,0.034735229
2025-11-01T23:51:17Z,0.02652,30.22326454425974,3315,0.033324283
2025-11-01T23:51:17Z,0.065064,29.86919205508166,8133,0.035832619
2025-11-01T23:51:17Z,0.080008,29.86911265228431,10001,0.033480024
2025-11-01T23:51:17Z,0.049608,30.00417938216007,6201,0.032123004
2025-11-01T23:51:17Z,0.062776,29.47067858598046,7847,0.039362105
2025-11-01T23:51:17Z,0.050664,29.247666372571633,6333,0.036778065
2025-11-01T23:51:17Z,0.019728,29.854038084806337,2466,0.025857292
2025-11-01T23:51:17Z,0.027072,30.034995274744368,3384,0.030872761
2025-11-01T23:51:17Z,0.03156,29.96694023607703,3945,0.034353062
2025-11-01T23:51:17Z,0.022824,29.99166891420901,2853,0.032957393
2025-11-01T23:51:17Z,0.031336,30.00297183186366,3917,0.033141616
2025-11-01T23:51:17Z,0.034504,29.91782987071879,4313,0.034942526
2025-11-01T23:51:17Z,0.011576,30.04111010760637,1447,0.030955891
2025-11-01T23:51:17Z,0.036288,29.962208036220588,4536,0.034953247
2025-11-01T23:51:17Z,0.01276,30.041297320807455,1595,0.03161804
2025-11-01T23:51:17Z,0.042568,29.946241918259744,5321,0.035506397
2025-11-01T23:51:17Z,0.014808,30.036950828864335,1851,0.031174595
2025-11-01T23:51:17Z,0.079992,29.9223454510272,9999,0.03622512
2025-11-01T23:51:17Z,0.038088,29.96285329045819,4761,0.032335485
2025-11-01T23:51:17Z,0.017872,30.338984095331263,2234,0.023030511
2025-11-01T23:51:17Z,0.348136,29.623208735838684,43517,0.053667882
2025-11-01T23:51:17Z,0.00616,30.33211754417228,770,0.012455368
2025-11-01T23:51:17Z,0.0332,30.23882365895844,4150,0.035816378
2025-11-01T23:51:18Z,0.057848,30.15621873826988,7231,0.035697082
2025-11-01T23:51:18Z,0.048072,30.198008523073845,6009,0.031783966
2025-11-01T23:51:18Z,0.069528,30.17017110316681,8691,0.034061951
2025-11-01T23:51:18Z,0.067392,30.016788389746385,8424,0.03331469
2025-11-01T23:51:18Z,0.029216,30.870669414259147,3652,0.031471725
2025-11-01T23:51:18Z,0.036408,30.600352601742962,4551,0.033251671
2025-11-01T23:51:18Z,0.070048,29.999212145691025,8756,0.035298749
2025-11-01T23:51:18Z,0.030928,30.34911865855924,3866,0.031412595
2025-11-01T23:51:18Z,0.009616,30.64514167578432,1202,0.031040169
2025-11-01T23:51:18Z,0.0292,30.359946791851193,3650,0.03477734
2025-11-01T23:51:18Z,0.067904,30.044584623796755,8488,0.035704008
2025-11-01T23:51:18Z,0.009808,30.427496693165015,1226,0.029514148
2025-11-01T23:51:18Z,0.045688,30.16101533438801,5711,0.03576873
2025-11-01T23:51:18Z,0.010176,30.301871319059522,1272,0.031460059
2025-11-01T23:51:18Z,0.061328,30.037406032293106,7666,0.03648799
2025-11-01T23:51:18Z,0.026456,30.18916696902085,3307,0.031116169
2025-11-01T23:51:18Z,0.045752,30.121867287342948,5719,0.03416058
